driver,points,date_added,reason,date_expired
Alexander Albon,1,2022-10-23T14:00:00+00:00,,
Carlos Sainz,2,2023-04-02T14:00:00+00:00,,
Carlos Sainz,1,2024-05-05T14:00:00+00:00,causing a collision with Oscar Piastri during the 2024 Miami Grand Prix,
Charles Leclerc,1,2022-10-09T14:00:00+00:00,,
Daniel Ricciardo,2,2024-04-21T14:00:00+00:00,Overtaking Nico Hulkenburg under safety car at the 2024 Chinese Grand Prix,
Daniel Ricciardo,1,2024-09-01T14:00:00+00:00,Forcing Nico Hulkenberg off track at the 2024 Italian Grand Prix,
Esteban Ocon,2,2022-07-24T14:00:00+00:00,,
Esteban Ocon,1,2024-05-04T14:00:00+00:00,Unsafe release during the 2024 Miami Grand Prix Sprint,
Esteban Ocon,2,2024-05-26T14:00:00+00:00,Collision with Pierre Gasly during the 2024 Monaco Grand Prix,
Fernando Alonso,2,2022-11-12T14:00:00+00:00,,
Fernando Alonso,3,2024-03-24T14:00:00+00:00,Potentially dangerous driving against George Russell at the 2024 Australian Grand Prix,
Fernando Alonso,3,2024-04-20T14:00:00+00:00,Causing a collision with Carlos Sainz at the 2024 Chinese Grand Prix Sprint,
Fernando Alonso,2,2024-06-30T14:00:00+00:00,Collision with Zhou Guanyu at the 2024 Austrian Grand Prix,
George Russell,2,2022-10-23T14:00:00+00:00,,
George Russell,2,2023-05-28T14:00:00+00:00,,
George Russell,2,2023-11-19T14:00:00+00:00,Collision with Max Verstappen at the 2023 Las Vegas Grand Prix,
Guanyu Zhou,1,2022-07-24T14:00:00+00:00,,
Kevin Magnussen,1,2022-09-11T14:00:00+00:00,,
Kevin Magnussen,3,2024-03-09T14:00:00+00:00,Causing a collision with Alex Albon during the 2024 Saudi Arabian Grand Prix,2024-09-02T14:00:00+00:00
Kevin Magnussen,2,2024-04-21T14:00:00+00:00,Causing a collision with Yuji Tsunoda at the 2024 Chinese Grand Prix,2024-09-02T14:00:00+00:00
Kevin Magnussen,3,2024-05-04T14:00:00+00:00,Leaving the track and gaining an advantage on multiple occasions during the 2024 Miami Grand Prix Sprint,2024-09-02T14:00:00+00:00
Kevin Magnussen,2,2024-05-05T14:00:00+00:00,Causing a collision with Logan Sargent during the 2024 Miami Grand Prix,2024-09-02T14:00:00+00:00
Kevin Magnussen,2,2024-09-01T14:00:00+00:00,Causing a collision with Pierre Gasly during the 2024 Italian Grand Prix,2024-09-02T14:00:00+00:00
Lance Stroll,2,2022-10-23T14:00:00+00:00,,
Lance Stroll,3,2022-11-12T14:00:00+00:00,,
Lance Stroll,2,2023-07-09T14:00:00+00:00,,
Lance Stroll,3,2023-11-17T14:00:00+00:00,Overtaking under yellow flags at the 2023 Las Vegas Grand Prix,
Lance Stroll,2,2024-04-21T14:00:00+00:00,Collision with Daniel Ricciardo at the 2024 Chinese Grand Prix,
Lando Norris,2,2022-11-13T14:00:00+00:00,,
Lewis Hamilton,2,2023-07-23T14:00:00+00:00,,
Max Verstappen,2,2022-11-13T14:00:00+00:00,,
Max Verstappen,2,2023-11-19T14:00:00+00:00,Collision with George Russell at the 2023 Las Vegas Grand Prix,
Max Verstappen,2,2024-06-30T14:00:00+00:00,Collision with Lando Norris at the 2024 Austrian Grand Prix,
Nico Hulkenberg,2,2023-05-28T14:00:00+00:00,,
Nico Hulkenberg,1,2023-06-17T14:00:00+00:00,,
Nico Hulkenberg,2,2024-06-30T14:00:00+00:00,Collision with Fernando Alonso at the 2024 Austrian Grand Prix,
Nico Hulkenberg,2,2024-09-01T14:00:00+00:00,Collision with Yuki Tsunoda at the 2024 Italian Grand Prix,
Pierre Gasly,2,2022-10-09T14:00:00+00:00,,
Pierre Gasly,2,2022-10-23T14:00:00+00:00,,
Pierre Gasly,1,2022-10-30T14:00:00+00:00,,
Sergio Perez,2,2022-10-03T14:00:00+00:00,,
Sergio Perez,1,2023-09-17T14:00:00+00:00,Causing a collision with Alex Albon at the 2023 Singapore Grand Prix,
Sergio Perez,2,2023-09-24T14:00:00+00:00,Overtaking Fernando Alonso under Safety Car conditions at the 2023 Japanese Grand Prix,
Sergio Perez,2,2023-09-24T14:00:00+00:00,Causing a collision with Kevin Magnussen at the 2023 Japanese Grand Prix,
Sergio Perez,2,2023-11-26T14:00:00+00:00,Causing a collision with Lando Norris at the 2023 Abu Dhabi Grand Prix,
Sergio Perez,2,2024-03-09T14:00:00+00:00,Unsafe release during the 2024 Saudi Arabian Grand Prix,
Valtteri Bottas,2,2023-10-29T14:00:00+00:00,Collision with Lance Stroll at the 2023 Mexican Grand Prix,
Yuki Tsunoda,2,2022-09-09T14:00:00+00:00,,
Yuki Tsunoda,1,2023-06-04T14:00:00+00:00,,
